genesymbol	lfc_rna	ncbi_id	UniprotKB_rna	UniprotKB_prot	lfc_prot
Atp6v1b2	1.0869362	11966	P62814	P62814	-0.116206418792718
Ndufa13	-0.19208238	67184	Q9ERS2	Q9ERS2	-0.4735592033056848
Ndufb7	-0.7731923	66916	Q9CR61	Q9CR61	0.3678284498003025
Gcdh	0.9865455	270076	Q60759	A0A0A0MQ68	0.016561759694029045
Gcdh	0.9865455	270076	Q60759	Q60759	0.016561759694029045
Gcdh	0.9865455	270076	A0A0A0MQ68	A0A0A0MQ68	0.016561759694029045
Gcdh	0.9865455	270076	A0A0A0MQ68	Q60759	0.016561759694029045
Gcdh	0.9865455	270076	Q8BVD4	A0A0A0MQ68	0.016561759694029045
Gcdh	0.9865455	270076	Q8BVD4	Q60759	0.016561759694029045
Atp6v0d1	0.3905832	11972	P51863	P51863	0.35578007226778985
Pla2g15	-0.9975527	192654	Q8VEB4		
Cox4i1	0.03316974	12857	P19783	P19783	-0.28205798425490836
Cox4i1	0.03316974	12857	A2RSV8	P19783	-0.28205798425490836
Acsf3	0.55097175	257633	Q3URE1	Q3URE1	0.5961048669735056
Gnpat	-0.5035273	14712	P98192	P98192	0.5135165234591829
Gnpat	-0.5035273	14712	Q545P6	P98192	0.5135165234591829
Gnpat	-0.5035273	14712	Q9CT84	P98192	0.5135165234591829
Acad8	-1.415293	66948	Q9D7B6	A0A0R4J0P1	0.7826831205993313
Acad8	-1.415293	66948	Q9D7B6	Q9D7B6	0.7826831205993313
Acad8	-1.415293	66948	A0A0R4J0P1	A0A0R4J0P1	0.7826831205993313
Acad8	-1.415293	66948	A0A0R4J0P1	Q9D7B6	0.7826831205993313
Atp5l	-0.02079629	27425	Q9CPQ8		
Sdhd	-0.0549698	66925	Q9CXV1		
Dlat	1.2722332	235339	Q8BMF4	Q8BMF4	0.3089683358480785
Acat1	0.7507366	110446	Q8QZT1	Q8QZT1	-0.2524766127277905
Idh3a	0.16669866	67834	Q9D6R2	Q9D6R2	0.2091983347111112
Acsbg1	1.2089024	94180	Q99PU5	Q99PU5	0.4076538165681632
Cox5a	0.051258568	12858	P12787	P12787	-0.524875519295694
Adpgk	1.7879132	72141	Q8VDL4	A0A1L1SSF2	0.07830292545301293
Adpgk	1.7879132	72141	Q8VDL4	Q8VDL4	0.07830292545301293
Adpgk	1.7879132	72141	A0A1L1SSF2	A0A1L1SSF2	0.07830292545301293
Adpgk	1.7879132	72141	A0A1L1SSF2	Q8VDL4	0.07830292545301293
Pkm	-0.26822627	18746	P52480	P52480	0.04395671175708775
Cox7a2	-0.5404619	12866	P48771	P48771	-0.2992925041604717
Bckdhb	1.9816039	12040	Q6P3A8	Q6P3A8	1.536371302268777
Me1	-2.1898065	17436	P06801	P06801	-0.17179937417829977
Me1	-2.1898065	17436	P06801	Q3TQP6	-0.17179937417829977
Me1	-2.1898065	17436	Q3TQP6	P06801	-0.17179937417829977
Me1	-2.1898065	17436	Q3TQP6	Q3TQP6	-0.17179937417829977
Pccb	0.19569856	66904	Q99MN9	E9Q1J7	0.6730003047283801
Pccb	0.19569856	66904	Q99MN9	Q99MN9	0.6730003047283801
Pccb	0.19569856	66904	E9Q1J7	E9Q1J7	0.6730003047283801
Pccb	0.19569856	66904	E9Q1J7	Q99MN9	0.6730003047283801
Pccb	0.19569856	66904	Q3UYS0	E9Q1J7	0.6730003047283801
Pccb	0.19569856	66904	Q3UYS0	Q99MN9	0.6730003047283801
Gpx1	-0.13481092	14775	P11352	A0A0A6YVV2	1.1271231141990226
